layer_name,entropy_mean,entropy_std,topk_acc_mean,nan_logits_count,inf_logits_count,nan_probs_count,inf_probs_count,nan_entropy_count,inf_entropy_count,nan_logits_rate,inf_logits_rate,nan_probs_rate,inf_probs_rate,nan_entropy_rate,inf_entropy_rate,cosine_drift,topk_overlap
input,0.435320645570755,0.7142869234085083,0.25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.0.attn,3.556682825088501,2.511613607406616,0.375,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.0.mlp,4.862658977508545,2.280398368835449,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.0,4.862658977508545,2.280398368835449,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.1.attn,4.8198628425598145,2.286147356033325,0.25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.1.mlp,4.2852067947387695,2.2068521976470947,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.1,4.2852067947387695,2.2068521976470947,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.2.attn,4.428666114807129,2.206343412399292,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.2.mlp,4.169754505157471,2.934019088745117,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.2,4.169754505157471,2.934019088745117,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.3.attn,4.125701904296875,2.958127737045288,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.3.mlp,4.142055511474609,2.8518714904785156,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.3,4.142055511474609,2.8518714904785156,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.4.attn,4.146476745605469,2.8518552780151367,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.4.mlp,4.349536895751953,2.7104222774505615,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.4,4.349536895751953,2.7104222774505615,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.5.attn,4.283519744873047,2.7822132110595703,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.5.mlp,4.286816596984863,2.695730686187744,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.5,4.286816596984863,2.695730686187744,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.6.attn,4.271267890930176,2.742811441421509,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.6.mlp,4.309474945068359,2.667668581008911,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.6,4.309474945068359,2.667668581008911,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.7.attn,4.259546756744385,2.7236053943634033,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.7.mlp,4.5984787940979,2.467849016189575,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.7,4.5984787940979,2.467849016189575,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.8.attn,4.619887828826904,2.449573516845703,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.8.mlp,4.5015459060668945,2.59979248046875,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.8,4.5015459060668945,2.59979248046875,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.9.attn,4.578930377960205,2.572455406188965,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.9.mlp,4.637499809265137,2.6476855278015137,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.9,4.637499809265137,2.6476855278015137,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.10.attn,4.775259494781494,2.5881569385528564,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.10.mlp,5.27556037902832,2.294839382171631,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.10,5.27556037902832,2.294839382171631,0.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.11.attn,5.886216163635254,1.6830685138702393,0.25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.11.mlp,5.9892120361328125,1.4582676887512207,0.25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
h.11,5.9892120361328125,1.4582676887512207,0.25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
